epoch,loss,val_loss,lr
0,0.059690140187740326,0.05617209151387215,0.001
1,0.038168665021657944,0.02917381376028061,0.001
2,0.029193516820669174,0.023604048416018486,0.001
3,0.025325244292616844,0.020083652809262276,0.001
4,0.021316953003406525,0.016261223703622818,0.001
5,0.018798790872097015,0.015091164037585258,0.001
6,0.017092937603592873,0.012561200186610222,0.001
7,0.015680385753512383,0.011695297434926033,0.001
8,0.014489403925836086,0.010577689856290817,0.001
9,0.013567200861871243,0.010045737959444523,0.001
10,0.012851051986217499,0.010233168490231037,0.001
11,0.01222136802971363,0.0091312350705266,0.001
12,0.01168993953615427,0.008420334197580814,0.001
13,0.011393247172236443,0.00853536557406187,0.001
14,0.010987494140863419,0.00917904358357191,0.001
15,0.010560793802142143,0.007789159193634987,0.001
16,0.010455549694597721,0.00789699424058199,0.001
17,0.010130896233022213,0.007357803639024496,0.001
18,0.00990707240998745,0.0070001245476305485,0.001
19,0.00978357344865799,0.007651300635188818,0.001
20,0.00948823057115078,0.006786705460399389,0.001
21,0.009461916983127594,0.006664176471531391,0.001
22,0.009304583072662354,0.006938540376722813,0.001
23,0.00919672567397356,0.00642384123057127,0.001
24,0.009180768392980099,0.006572747603058815,0.001
25,0.009075059555470943,0.006301073357462883,0.001
26,0.008976267650723457,0.006631747353821993,0.001
27,0.009005798026919365,0.006248646881431341,0.001
28,0.00890912115573883,0.0061226338148117065,0.001
29,0.008882371708750725,0.006368863396346569,0.001
30,0.008944777771830559,0.006218407303094864,0.001
31,0.008779529482126236,0.006397890392690897,0.001
32,0.008850427344441414,0.006210354622453451,0.001
33,0.008880848996341228,0.006278218701481819,0.001
34,0.008612670935690403,0.005867674946784973,0.001
35,0.008673061616718769,0.006329895928502083,0.001
36,0.008686651475727558,0.005974065512418747,0.001
37,0.008717261254787445,0.005932584870606661,0.001
38,0.00857268925756216,0.006160662043839693,0.001
39,0.008537267334759235,0.006135220173746347,0.001
40,0.00875700544565916,0.006316697224974632,0.001
41,0.008548474870622158,0.005848889704793692,0.001
42,0.008548329584300518,0.006504797842353582,0.001
43,0.008336310274899006,0.005847413558512926,0.0005
44,0.008289609104394913,0.005995584186166525,0.0005
45,0.008378177881240845,0.005764590576291084,0.0005
46,0.00835054274648428,0.005699248984456062,0.0005
47,0.008279339410364628,0.005761965177953243,0.0005
48,0.008269956335425377,0.005655554588884115,0.0005
49,0.008286197669804096,0.005790193099528551,0.0005
50,0.00826776772737503,0.005720492918044329,0.0005
51,0.008278479799628258,0.0062454501166939735,0.0005
52,0.00821799598634243,0.00598857132717967,0.0005
53,0.008189897984266281,0.005704288370907307,0.0005
54,0.008277042768895626,0.005721058696508408,0.0005
55,0.008188556879758835,0.005743039771914482,0.0005
56,0.00825136061757803,0.005706737749278545,0.0005
57,0.008085689507424831,0.005659878719598055,0.00025
58,0.008083697408437729,0.005683107301592827,0.00025
59,0.00809452310204506,0.005696274805814028,0.00025
60,0.008070501498878002,0.005597597453743219,0.00025
61,0.008141119964420795,0.005633193999528885,0.00025
62,0.008127417415380478,0.005728686228394508,0.00025
63,0.008115094155073166,0.0059289936907589436,0.00025
64,0.008124144747853279,0.005793521646410227,0.00025
65,0.008074741810560226,0.00573372095823288,0.000125
66,0.008091206662356853,0.005635754205286503,0.000125
67,0.008043964393436909,0.0055716922506690025,0.000125
68,0.008043542504310608,0.005614391062408686,0.000125
69,0.00800288561731577,0.005595679860562086,0.000125
70,0.007997819222509861,0.0055872793309390545,0.000125
71,0.008026618510484695,0.005679989233613014,0.000125
72,0.008028059266507626,0.005615310277789831,0.000125
73,0.007985852658748627,0.00559085002169013,6.25e-05
74,0.008049936033785343,0.005596444476395845,6.25e-05
75,0.00799729023128748,0.005566857755184174,6.25e-05
76,0.00795687548816204,0.00557022774592042,6.25e-05
77,0.008031836710870266,0.005568470805883408,6.25e-05
78,0.00796983577311039,0.005606559105217457,6.25e-05
79,0.008000262081623077,0.0056238542310893536,6.25e-05
80,0.007856523618102074,0.005575112067162991,6.25e-05
81,0.0079739298671484,0.005584857426583767,3.125e-05
82,0.008039716631174088,0.00555868074297905,3.125e-05
83,0.007980403490364552,0.005579202901571989,3.125e-05
84,0.007931197993457317,0.005597592331469059,3.125e-05
85,0.00799289159476757,0.00561774056404829,3.125e-05
86,0.007953820750117302,0.0056367903016507626,3.125e-05
87,0.007959038019180298,0.005623798817396164,3.125e-05
88,0.007956687361001968,0.005577206611633301,3.125e-05
89,0.007956729270517826,0.00558726629242301,1.5625e-05
90,0.007951762527227402,0.005578203126788139,1.5625e-05
91,0.00793343223631382,0.005573866423219442,1.5625e-05
92,0.007996787317097187,0.0055757444351911545,1.5625e-05
93,0.007902170531451702,0.005597414914518595,1.5625e-05
94,0.00800906028598547,0.005596861708909273,1.5625e-05
95,0.007970078848302364,0.005569310858845711,1.5625e-05
96,0.007960760965943336,0.00557579705491662,1.5625e-05
97,0.007993645966053009,0.005572537891566753,7.8125e-06
98,0.007940654642879963,0.005572780966758728,7.8125e-06
99,0.00791018083691597,0.005577783565968275,7.8125e-06
100,0.00793368648737669,0.005566231906414032,7.8125e-06
101,0.007870085537433624,0.005570377688854933,7.8125e-06
102,0.007941282354295254,0.005574427079409361,7.8125e-06
103,0.007906950078904629,0.00558932451531291,7.8125e-06
104,0.007911025546491146,0.005572779104113579,7.8125e-06
105,0.007967154495418072,0.005570652894675732,3.90625e-06
106,0.008001013658940792,0.005567524116486311,3.90625e-06
107,0.007949773222208023,0.005570141598582268,3.90625e-06
